id,image_url,scientific_name
207361563,https://static.inaturalist.org/photos/366781576/medium.jpeg,Nymphalis antiopa
207470480,https://inaturalist-open-data.s3.amazonaws.com/photos/366979177/medium.jpeg,Nymphalis antiopa
207534628,https://inaturalist-open-data.s3.amazonaws.com/photos/367108648/medium.jpeg,Nymphalis antiopa
207553478,https://inaturalist-open-data.s3.amazonaws.com/photos/367145177/medium.jpg,Nymphalis antiopa
207735890,https://inaturalist-open-data.s3.amazonaws.com/photos/367482691/medium.jpeg,Nymphalis antiopa
207742201,https://inaturalist-open-data.s3.amazonaws.com/photos/367494856/medium.jpeg,Nymphalis antiopa
207768771,https://inaturalist-open-data.s3.amazonaws.com/photos/367541322/medium.jpg,Nymphalis antiopa
207929000,https://static.inaturalist.org/photos/367844892/medium.jpeg,Nymphalis antiopa
208078863,https://inaturalist-open-data.s3.amazonaws.com/photos/368124027/medium.jpeg,Nymphalis antiopa
208078899,https://static.inaturalist.org/photos/368124187/medium.jpeg,Nymphalis antiopa
208116972,https://inaturalist-open-data.s3.amazonaws.com/photos/380205289/medium.jpg,Nymphalis antiopa
208136439,https://inaturalist-open-data.s3.amazonaws.com/photos/368225065/medium.jpeg,Nymphalis antiopa
208225372,https://inaturalist-open-data.s3.amazonaws.com/photos/368396762/medium.jpg,Nymphalis antiopa
208231696,https://inaturalist-open-data.s3.amazonaws.com/photos/368409752/medium.jpeg,Nymphalis antiopa
208249262,https://inaturalist-open-data.s3.amazonaws.com/photos/368441661/medium.jpeg,Nymphalis antiopa
208255236,https://inaturalist-open-data.s3.amazonaws.com/photos/368452371/medium.jpeg,Nymphalis antiopa
208270581,https://inaturalist-open-data.s3.amazonaws.com/photos/368481503/medium.jpeg,Nymphalis antiopa
208290162,https://inaturalist-open-data.s3.amazonaws.com/photos/368517378/medium.jpeg,Nymphalis antiopa
208296258,https://inaturalist-open-data.s3.amazonaws.com/photos/368527732/medium.jpg,Nymphalis antiopa
208307899,https://inaturalist-open-data.s3.amazonaws.com/photos/368548140/medium.jpg,Nymphalis antiopa
208322236,https://static.inaturalist.org/photos/368574666/medium.jpeg,Nymphalis antiopa
208450324,https://inaturalist-open-data.s3.amazonaws.com/photos/368814292/medium.jpg,Nymphalis antiopa
208453888,https://inaturalist-open-data.s3.amazonaws.com/photos/368825995/medium.jpeg,Nymphalis antiopa
208471744,https://inaturalist-open-data.s3.amazonaws.com/photos/368858255/medium.jpeg,Nymphalis antiopa
208490688,https://inaturalist-open-data.s3.amazonaws.com/photos/368892161/medium.jpeg,Nymphalis antiopa
208504198,https://inaturalist-open-data.s3.amazonaws.com/photos/368914505/medium.jpeg,Nymphalis antiopa
208511537,https://inaturalist-open-data.s3.amazonaws.com/photos/368928269/medium.jpeg,Nymphalis antiopa
208517002,https://inaturalist-open-data.s3.amazonaws.com/photos/368937298/medium.jpeg,Nymphalis antiopa
208656943,https://inaturalist-open-data.s3.amazonaws.com/photos/369204635/medium.jpeg,Nymphalis antiopa
